custom_id,label_x,cause,effect,original_row_id,climate,health,intersection,date,text,replies,link,handle,n_replies,n_reposts,n_likes,n_bookmarks,n_views,language,text_en,original_row_id.1,name,Portfolio,Term Start,Term End,personal_twitter,institutional_twitter,label_y
453,0,,,87366,1,0,0,2023-08-26,Na sejmu sem začutila močno zavedanje o pomenu prilagajanja na podnebne spremembe in načel trajnostnega razvoja. Vtise strnjujem v tri ključne poudarke.,"1 reply, 1 repost, 2 likes, 260 views",https://x.com/nmusar/status/1695452285755650336/photo/1,nmusar,1.0,1.0,2.0,,260.0,sl,"At the fair, I felt a strong awareness of the importance of adaptation to climate change and the principles of sustainable development. I am staring at three key highlights.",252125.0,,,,,,,1
454,0,,,30212,1,0,0,2023-10-02,"Šios savaitės #Europarlamento darbotvarkė:
apginti žiniasklaidos laisvę; 
apginti  nuo ekonominio šantažo;
ragins didinti  biudžetą;
spręs dėl naujų  komisarų klimato kaitai;
 ir t.t. 
Stebėkite gyvaihttp://eptwitter.eu/qDQz",51 views,,Europarl_LT,,,,,51.0,lt,"This week's #Europallic agenda:
defend media freedom; 
to protect against economic blackmail;
will call for an increase in the budget;
will decide on climate change of new commissioners;
 and so on. 
Watch livettp: //eptwitter.eu/qdqz",89954.0,,,,,,,1
455,0,,,67600,1,0,0,2022-09-08,"På næste uges plenarsamling i Europa-Parlamentet:
- Debat om EU's tilstand med kommissionsformand 
@vonderleyen
 
- Afstemninger om energieffektivitet og vedvarende energi
- Debat med  premierminister Sanna Marin
- Mindsteløn
Læs mere https://europarl.europa.eu/news/da/agenda/briefing/2022-09-12…
#eudk #dkgreen",1 like,,Europarl_DK,,,1.0,,,da,"On next week's plenary collection in the European Parliament:
- Debate on EU condition with Commission President 
@vonderleyen
 
- Polls on energy efficiency and renewable energy
- Debate with Prime Minister Sanna Marin
- Minimum wage
Read more https://europarl.europa.eu/news/en/agenda/Briefing/2022-09-12…
#eudk #dkgreen",,,,,,,,1
456,0,,,50718,1,0,0,2022-05-18,"Reunião muito útil c/ Secretário Reg da Agricultura e Desenvolvimento Regional dos Açores António Lima Cardoso Ventura

Diversificação, criação de empregos atrativos p/ jovens e desenvolvimento de energias renováveis são grandes desafios que a política de #coesão pode apoiar","3 replies, 1 repost, 6 likes",https://x.com/ElisaFerreiraEC/status/1526970334301257730/photo/1,ElisaFerreiraEC,3.0,1.0,6.0,,,pt,"Very useful meeting with regional regional agriculture and regional development secretary António Lima Cardoso Ventura

Diversification, creation of attractive jobs for young people and development of renewable energy are great challenges that #cohesion policy can support",,,,,,,,1
457,1,all countries adjust their 2030 climate objectives before the COP27,limit global warming and thus meet the climate agreement,94841,1,0,0,2022-10-20,"COP27: Het Parlement roept alle landen op om hun 2030-klimaatdoelstellingen vóór de COP27 bij te stellen, om de opwarming te beperken en zo te voldoen aan het klimaatakkoord. Persbericht  http://eptwitter.eu/q9r9",2 reposts,https://x.com/Europarl_NL/status/1583071644087881728/photo/1,Europarl_NL,,2.0,,,,nl,"COP27: Parliament calls on all countries to adjust their 2030 climate objectives before the COP27, to limit global warming and thus meet the climate agreement. Press release http://eptwitter.eu/q9r9",,,,,,,,1
458,1,the progress and effects of climate emergency,the Government of Spain has been committed to the ecological transition for five years,92158,1,0,0,2023-07-28,"Ni suele ser portada, ni acapara conversaciones pero el avance y los efectos de la emergencia climática son cada vez más rápidos y agudos.

Desde el Gobierno de España llevamos cinco años empeñados en la transición ecológica.

No hay marcha atrás.","2647 replies, 2955 reposts, 9394 likes, 30 bookmarks, 765075 views",,sanchezcastejon,2647.0,2955.0,9394.0,30.0,765075.0,es,"Nor is it usually a cover, nor monopolizes conversations but the progress and effects of climate emergency are increasingly fast and acute.

From the Government of Spain we have been committed to the ecological transition for five years.

There is no back.",267671.0,,,,,,,1
459,0,,,31757,1,0,0,2022-10-20,"#COP27

The European Parliament adopts resolution calling on all countries to boost their 2030 climate targets to limit global warming in line with the Paris agreement.

The EU should also update its NDC to 
@UNFCCC
 accordingly.

Press release
https://europarl.europa.eu/news/en/press-room/20221014IPR43220…","10 reposts, 10 likes",https://x.com/EP_Environment/status/1583045459148693504/photo/1,EP_Environment,,10.0,10.0,,,en,"#COP27

The European Parliament adopts resolution calling on all countries to boost their 2030 climate targets to limit global warming in line with the Paris agreement.

The EU should also update its NDC to 
@UNFCCC
 accordingly.

Press release
https://europarl.europa.eu/news/en/press-room/20221014IPR43220…",,,,,,,,1
460,1,A massive and quick scale-up of renewables,accelerate our energy independence and the green transition,48510,1,0,0,2022-05-31,"A massive and quick scale-up of renewables will accelerate our energy independence and the green transition.

With #REPowerEU, we want to speed up permitting process for renewable energy projects and infrastructure.","4 replies, 24 reposts, 60 likes, 1 bookmark",https://x.com/EU_Commission/status/1531526136961933312/photo/1,EU_Commission,4.0,24.0,60.0,1.0,,en,"A massive and quick scale-up of renewables will accelerate our energy independence and the green transition.

With #REPowerEU, we want to speed up permitting process for renewable energy projects and infrastructure.",,,,,,,,1
461,0,,,45508,1,0,0,2023-02-20,"Discussing the opportunities of the #energytransition & the way forward today at Madrid  at the International Renewable Energy Conference #SPIREC2023.

We have high ambitions & these can be only achieved by working together.","1 reply, 4 reposts, 20 likes, 3926 views",https://x.com/KadriSimson/status/1627635995125456897/photo/1,KadriSimson,1.0,4.0,20.0,,3926.0,en,"Discussing the opportunities of the #energytransition & the way forward today at Madrid  at the International Renewable Energy Conference #SPIREC2023.

We have high ambitions & these can be only achieved by working together.",131805.0,,,,,,,1
462,0,,,10047,1,0,0,2022-10-26,"Podravka je jedna od naših najznačajnijih kompanija, koja ostvaruje izvrsne rezultate, unaprjeđuje prava radnika i pridonosi razvoju prehrambene industrije . Izgradnja solarne elektrane u vrijednosti od 10 mil. kn dobar je primjer ulaganja u obnovljive izvore energije.","14 replies, 14 reposts, 68 likes",https://x.com/AndrejPlenkovic/status/1585240725729705984/photo/1,AndrejPlenkovic,14.0,14.0,68.0,,,hr,"Podravka is one of our most significant companies, which achieves excellent results, enhances the rights of workers and contributes to the development of the food industry. Construction of a solar power plant worth HRK 10 million is a good example of investment in renewable energy sources.",,,,,,,,1
463,1,rising energy prices,protect consumers from their rise,29922,1,0,0,2023-12-14," Parlamento vadovė:
Prieš šiandienos #EUCO pasiektas svarbus susitarimas dėl elektros energijos rinkos reformos.
Reaguodami į didėjančias energijos kainas, apsaugome vartotojus nuo jų kilimo.
Reformos esmė: diegiame atsinaujinančią energiją ir tampame atsparesni krizėms...",94 views,,Europarl_LT,,,,,94.0,lt,"Head of Parliament:
Before today's #euco, an important agreement on the electricity market reform has been reached.
In response to rising energy prices, we protect consumers from their rise.
The essence of the reform is: we implement renewable energy and become more resistant to crises ...",89664.0,,,,,,,1
464,0,,,220823,1,0,0,2022-02-26,"Programa de ayudas a proyectos pioneros y singulares de #HidrógenoRenovable .

150 M€ del #PlanDeRecuperación para la producción y consumo local de hidrógeno, en sectores de difícil descarbonización.

Solicitudes del 7 de marzo al 6 de mayo.

Más
https://idae.es/noticias/el-miteco-abre-la-convocatoria-de-ayudas-para-proyectos-pioneros-y-singulares-de-0…","3 replies, 21 reposts, 27 likes",,desdelamoncloa,3.0,21.0,27.0,,,es,"Pioneer and unique project aid program of #hydrogenorenovable.

€ 150 of the #PLANDERECUPERATION FOR THE PRODUCTION AND LOCAL CONSUMPTION OF HYDROGEN, IN DIFFICULT DECARBONIZATION SECTORS.

Applications from March 7 to May 6.

Further
https://idae.es/noticias/el-miteco-abre",,,,,,,,1
465,0,,,70857,1,0,0,2023-10-27,"Wars, conflicts, climate change: it has been referred to as a watershed moment – a crisis of orientation would be more fitting. At 
@OxfordUnion
 , I warned against succumbing to pessimism. Multilateralism is the only alternative to power politics, optimism the only way out.","29 replies, 19 reposts, 41 likes, 2 bookmarks, 36527 views",https://x.com/alain_berset/status/1717937393523728803/photo/1,alain_berset,29.0,19.0,41.0,2.0,36527.0,en,"Wars, conflicts, climate change: it has been referred to as a watershed moment – a crisis of orientation would be more fitting. At 
@OxfordUnion
 , I warned against succumbing to pessimism. Multilateralism is the only alternative to power politics, optimism the only way out.",206318.0,,,,,,,1
466,0,,,59790,1,0,0,2023-10-05,"Udledningen af fluorholdige drivhusgasser skal være endnu mindre. Det har Rådet og Parlamentet i dag slået fast i en ny aftale. Aftalen er et led i at nå de klimamål, der er sat frem mod 2050.
Læs mere om den her: https://europarl.europa.eu/news/da/press-room/20230717IPR03026/deal-reached-on-reducing-fluorinated-gas-emissions-in-the-eu…
#eudk #climate #dkgreen","1 like, 140 views",,Europarl_DK,,,1.0,,140.0,da,"The emission of fluorinated greenhouse gases must be even smaller. The Council and Parliament today have stated in a new agreement. The agreement is part of reaching the climate goals set up towards 2050.
Read more about it here: https://europarl.europa.eu/news/en/press-room/20230717IPR03026/deal-reached-on-reducing-fluorinated-gas-emissions in--eu…
#eudk #climate #dkgreen",,Denmark,,,,,@Europarl_DK,1
467,0,,,33819,1,0,0,2023-12-13,"I welcome the agreement reached at #COP28 to accelerate the global transition away from fossil fuels, and triple renewables & double energy efficiency this decade.

Limiting global warming to 1.5° is essential. We owe it to the world. 

https://europa.eu/!G3NKJr 

#EUGreenDeal","4 replies, 15 reposts, 26 likes, 4496 views",https://x.com/MarosSefcovic/status/1734947845625598295/photo/1,MarosSefcovic,4.0,15.0,26.0,,4496.0,en,"I welcome the agreement reached at #COP28 to accelerate the global transition away from fossil fuels, and triple renewables & double energy efficiency this decade.

Limiting global warming to 1.5° is essential. We owe it to the world. 

https://europa.eu/!G3NKJr 

#EUGreenDeal",,Maroš Šefčovič,Commissioner for Trade and Economic Security,01/12/2024,,@MarosSefcovic,@EU_Commission,1
468,1,EUs decarbonisation ambition,a huge opportunity for manufacturers,192038,1,0,0,2022-10-11,"EU’s #decarbonisation ambition is a huge opportunity for  manufacturers. 

With the Alliance's support, the EU could reach 30 Gigawatts of annual solar energy manufacturing capacity by 2025 across the full photovoltaic value chain.","3 replies, 7 reposts, 19 likes",,ThierryBreton,3.0,7.0,19.0,,,en,"EU’s #decarbonisation ambition is a huge opportunity for  manufacturers. 

With the Alliance's support, the EU could reach 30 Gigawatts of annual solar energy manufacturing capacity by 2025 across the full photovoltaic value chain.",,,,,,,,1
469,1,Parliament today approved its position on negotiations on the legislation on the energy efficiency of buildings,reduce the energy consumption of buildings and greenhouse gas emissions,26509,1,0,0,2023-03-14,"#EPistunto: parlamentti hyväksyi tänään kantansa neuvotteluihin rakennusten energiatehokkuutta koskevasta lainsäädännöstä. Tavoitteena on vähentää rakennusten energiankulutusta ja kasvihuonekaasupäästöjä. 

Lue lisää ","2 replies, 2 reposts, 2 likes, 640 views",,Europarl_FI,2.0,2.0,2.0,,640.0,fi,"#Peget: Parliament today approved its position on negotiations on the legislation on the energy efficiency of buildings. The aim is to reduce the energy consumption of buildings and greenhouse gas emissions. 

Read more",78809.0,,,,,,,1
470,0,,,53783,1,0,0,2024-01-18,"I discussed the EU-Tunisia partnership with PM Ahmed Hachani – full of potential to be realised.

We have myriad opportunities for cooperation ahead of us.

In trade, investments, renewable energy, migration and in creating chances for Tunisia’s youth.

Let’s seize them all.","306 replies, 93 reposts, 384 likes, 7 bookmarks, 46414 views",,vonderleyen,306.0,93.0,384.0,7.0,46414.0,en,"I discussed the EU-Tunisia partnership with PM Ahmed Hachani – full of potential to be realised.

We have myriad opportunities for cooperation ahead of us.

In trade, investments, renewable energy, migration and in creating chances for Tunisia’s youth.

Let’s seize them all.",,Ursula von der Leyen,President,01/12/2019,30/11/2024,@vonderleyen,@EU_Commission,1
471,1,"obligations regarding climate protection and decarbonization, which result from our membership in the European Union","Atom is a future for us, if we are to fulfill primarily obligations regarding climate protection and decarbonization",88984,1,0,0,2023-12-05,"Prezydent 
@AndrzejDuda
 w rozmowie z 
@AlArabiya
:
 Atom to dla nas przyszłość, jeżeli mamy zrealizować przede wszystkim zobowiązania dotyczące ochrony klimatu i dekarbonizacji, które wynikają z naszego członkostwa w Unii Europejskiej. Zmiana metod wytwarzania energii w Polsce to","52 replies, 31 reposts, 105 likes, 1 bookmark, 15177 views",https://x.com/prezydentpl/status/1732060120727580863/photo/1,prezydentpl,52.0,31.0,105.0,1.0,15177.0,pl,"President 
@Andrzejduda
 In an interview with 
@Alarabiya
:
 Atom is a future for us, if we are to fulfill primarily obligations regarding climate protection and decarbonization, which result from our membership in the European Union. Changing energy production methods in Poland is",258704.0,,,,,,,1
472,0,,,63302,1,0,0,2023-07-11,"PM Frederiksen: “Today, we have entered into a strategic partnership with our close friend Australia. Working together to promote transition to net zero, boost investment and trade and to keep an open, stable, and prosperous world, which upholds sovereignty and international law”","41 replies, 18 reposts, 78 likes, 17225 views",https://x.com/Statsmin/status/1678769372616339459/photo/1,Statsmin,41.0,18.0,78.0,,17225.0,en,"PM Frederiksen: “Today, we have entered into a strategic partnership with our close friend Australia. Working together to promote transition to net zero, boost investment and trade and to keep an open, stable, and prosperous world, which upholds sovereignty and international law”",187738.0,,,,,,,1
473,1,"conflicts, climate change",humanitarian needs have skyrocketed,42350,1,0,0,2023-07-04,"Humanitarian needs have skyrocketed, still largely due to conflicts, while climate change is intensifying. 

Providing humanitarian aid is a shared  responsibility. I'm looking forward to working with the 1st EUSR for the Gulf 
@luigidimaio
 in our joint efforts with the region.","1 repost, 15 likes, 1055 views",https://x.com/JanezLenarcic/status/1676226670947172353/photo/1,JanezLenarcic,,1.0,15.0,,1055.0,en,"Humanitarian needs have skyrocketed, still largely due to conflicts, while climate change is intensifying. 

Providing humanitarian aid is a shared  responsibility. I'm looking forward to working with the 1st EUSR for the Gulf 
@luigidimaio
 in our joint efforts with the region.",125031.0,,,,,,,1
474,0,,,59012,1,0,0,2023-09-21,"‘It is important that the United Nations Security Council addresses climate change as a risk for global peace and security. #Latvia will address the issue, if elected to the Security Council for 2026–2027,’ emphasised President 
@edgarsrinkevics
.","3 reposts, 4 likes, 772 views",,Rigas_pils,,3.0,4.0,,772.0,en,"‘It is important that the United Nations Security Council addresses climate change as a risk for global peace and security. #Latvia will address the issue, if elected to the Security Council for 2026–2027,’ emphasised President 
@edgarsrinkevics
.",175678.0,,,,,,,1
475,0,,,63376,1,0,0,2022-10-17,"Αυτή την εβδομάδα στην ολομέλεια του ΕΚ:

 Πόλεμος στην Ουκρανία: κοινωνικές συνέπειες, πρόσφυγες
Κλιματική αλλαγή: πιο φιλόδοξα σχέδια ενόψει της COP27 
Το Κοινοβούλιο υπέρ της επέκτασης υποδομών για εναλλακτικά καύσιμα
… ",2 likes,,Europarl_CY,,,2.0,,,el,"This week in the EC plenary session:

 War in Ukraine: Social consequences, refugees
Climate Change: More ambitious plans in view of COP27 
Parliament in favor of expanding infrastructure for alternative fuel
…",,,,,,,,1
476,0,,,59130,1,0,0,2024-11-05,"With colleagues from 
@EP_Industry
 & 
@EP_Economics
ENVI MEPs will evaluate Commissioner-designate for Climate, Net-Zero and Clean Growth Wopke Bastiaan HOEKSTRA.

Date: Thursday 7 November
Time: 9am-12pm

Livestream: https://multimedia.europarl.europa.eu/en/webstreaming/confirmation-hearing-of-wopke-bastiaan-hoekstra-commissioner-designate-climate-net-zero-and-clean-gr_20241107-0900-COMMITTEE-CONFIRMATION-HEARING-A…

5/","3 replies, 2 reposts, 1 like, 1101 views",https://x.com/EP_Environment/status/1853727047832514839/photo/1,EP_Environment,3.0,2.0,1.0,,1101.0,en,"With colleagues from 
@EP_Industry
 & 
@EP_Economics
ENVI MEPs will evaluate Commissioner-designate for Climate, Net-Zero and Clean Growth Wopke Bastiaan HOEKSTRA.

Date: Thursday 7 November
Time: 9am-12pm

Livestream: https://multimedia.europarl.europa.eu/en/webstreaming/confirmation-hearing-of-wopke-bastiaan-hoekstra-commissioner-designate-climate-net-zero-and-clean-gr_20241107-0900-COMMITTEE-CONFIRMATION-HEARING-A…

5/",,Environment,,,,,@EP_Environment,1
477,0,,,38307,1,0,0,2024-05-27," and Small Island Developing States
are partners in defending  multilateralism and in the fight against climate change. With #GlobalGateway, we are stepping up cooperation. 

Watch our press briefing at #SIDS4 at 12:30  Antigua / 18:30  Belgium.","10 reposts, 18 likes, 2263 views",,JuttaUrpilainen,,10.0,18.0,,2263.0,en," and Small Island Developing States
are partners in defending  multilateralism and in the fight against climate change. With #GlobalGateway, we are stepping up cooperation. 

Watch our press briefing at #SIDS4 at 12:30  Antigua / 18:30  Belgium.",,Jutta Urpilainen,International Partnerships,01/12/2019,30/11/2024,@JuttaUrpilainen,@EU_Commission,1
478,0,,,22826,1,0,0,2023-12-14,"Τα μέλη του Ευρωπαϊκού κοινοβουλίου συζητούν για την COP28 και τα αποτελέσματα της πρόσφατης Διάσκεψης του ΟΗΕ για την Κλιματική Αλλαγή.

Σήμερα, Πέμπτη 14 Δεκεμβρίου
Από τις 10.00 ώρα 
https://europarl.europa.eu/plenary/el/home.html…","2 reposts, 3 likes, 327 views",https://x.com/Europarl_EL/status/1735205482388722088/photo/1,Europarl_EL,,2.0,3.0,,327.0,el,"Members of the European Parliament are discussing COP28 and the results of the recent UN Conference on Climate Change.

Today, Thursday December 14th
From 10.00 hours 
https://europarl.europa.eu/plenary/en/home.html…",68840.0,,,,,,,1
479,0,,,33728,1,0,0,2024-02-26,"Energy infrastructure is at the centre of our attention given its strategic importance
secure supply of clean energy
low energy prices
decarbonisation and electrification of our economy

Glad to host the key stakeholders as part of 
@EU_Commission
 clean transition dialogues.","3 replies, 23 reposts, 42 likes, 8591 views",https://x.com/MarosSefcovic/status/1762062608734060905/photo/1,MarosSefcovic,3.0,23.0,42.0,,8591.0,en,"Energy infrastructure is at the centre of our attention given its strategic importance
secure supply of clean energy
low energy prices
decarbonisation and electrification of our economy

Glad to host the key stakeholders as part of 
@EU_Commission
 clean transition dialogues.",,Maroš Šefčovič,Commissioner for Trade and Economic Security,01/12/2024,,@MarosSefcovic,@EU_Commission,1
480,0,,,227236,1,0,0,2022-09-15,Conférence de presse vers 12h des membres du Klima-Biergerrot sur leurs propositions qui s’inscrivent dans la lutte contre le changement climatique. Version originale  + traduction en langue des signes: https://gd.lu/7FBX58 Traduction simultanée : https://gd.lu/fCnsVR,"2 replies, 1 like",https://x.com/gouv_lu/status/1570321995686088706/photo/1,gouv_lu,2.0,,1.0,,,fr,Press conference around 12 noon with members of Klima-Biergerrot on their proposals which are part of the fight against climate change. Original version + Sign language translation: https://gd.lu/7fbx58 simultaneous translation: https://gd.lu/fcnsvr,,,,,,,,1
481,0,,,2138,1,0,0,2023-03-30,"Today at 
@EU_CoR
 I was handed an open letter signed by more than 40 mayors in support of the #MissionCities. I am pleased to see such motivation from EU cities to reach climate neutrality by 2030. EU cities are at the forefront to acting on #climatechange and the energy crisis.","1 reply, 11 reposts, 38 likes, 6011 views",https://x.com/AdinaValean/status/1641495881357590528/photo/1,AdinaValean,1.0,11.0,38.0,,6011.0,en,"Today at 
@EU_CoR
 I was handed an open letter signed by more than 40 mayors in support of the #MissionCities. I am pleased to see such motivation from EU cities to reach climate neutrality by 2030. EU cities are at the forefront to acting on #climatechange and the energy crisis.",6073.0,,,,,,,1
482,0,,,66520,1,0,0,2022-02-21,"Die EU hat ihr Klimaziel für 2020, das eine Reduktion der Treibhausgasemissionen um 20 Prozent vorsieht, um 11 Prozentpunkte übertroffen. Erfahrt mehr in unserer Infografik  http://eptwitter.eu/q5P9","2 replies, 1 like",,Europarl_DE,2.0,,1.0,,,de,"The EU has exceeded its climate target for 2020, which provides for a reduction in greenhouse gas emissions by 20 percent, by 11 percentage points. Find out more in our infographic http://eptwitter.eu/q5p9",,,,,,,,1
483,1,Cohesion Policy,"improved environment, waste management, and R&D; 9.1 hectares of landfill rehabilitated at Wied Fulija; 22 MW of additional renewable energy capacity; 67 new jobs created in R&D; 15,000 workers trained in 78 vocational education centres",19386,1,0,0,2024-04-25,"Since 2014 #CohesionPolicy helped  improve environment, waste management & R&D:

 9.1 hectares of landfill rehabilitated at Wied Fulija
 22 MW of additional renewable energy capacity
 67 new jobs created in R&D
 15,000 workers trained in 78 vocational education centres","1 reply, 1 repost, 4 likes, 56 views",https://x.com/ElisaFerreiraEC/status/1783412534759870728/photo/1,ElisaFerreiraEC,1.0,1.0,4.0,,56.0,en,"Since 2014 #CohesionPolicy helped  improve environment, waste management & R&D:

 9.1 hectares of landfill rehabilitated at Wied Fulija
 22 MW of additional renewable energy capacity
 67 new jobs created in R&D
 15,000 workers trained in 78 vocational education centres",,Elisa Ferreira,Cohesion and Reforms,01/12/2019,30/11/2024,@ElisaFerreiraEC,@EU_Commission,1
484,1,Tyseley Energy Park hydrogen-fuelled vehicles,help tackle the climate crisis,136187,1,0,0,2022-01-04,"Tyseley Energy Park hydrogen-fuelled vehicles help tackle the climate crisis. 

We need a Government who will share their ambition to create a greener future for our country.","207 replies, 221 reposts, 1164 likes, 4 bookmarks",https://x.com/Keir_Starmer/status/1478453038172061702/photo/1,Keir_Starmer,207.0,221.0,1164.0,4.0,,en,"Tyseley Energy Park hydrogen-fuelled vehicles help tackle the climate crisis. 

We need a Government who will share their ambition to create a greener future for our country.",,,,,,,,1
485,0,,,104152,1,1,1,2022-01-09," Zaujímajú vás témy ako klimatické zmeny, životné prostredie a zdravie  ? Sledujte aj dnes naživo od  10:00 - 14:00  európsku panelovú diskusiu občanov ","1 repost, 2 likes",,Europarl_SK,,1.0,2.0,,,sk,"Are you interested in topics such as climate change, environment and health? Follow live today from 10:00 - 14:00 European panel discussion of citizens",,,,,,,,1
486,1,setting up an EU Carbon Border Adjustment Mechanism,combat climate change and prevent carbon leakage,73414,1,0,0,2022-12-13,MEPs have reached a provisional agreement with Council to set up an EU Carbon Border Adjustment Mechanism to combat climate change and prevent carbon leakage. Press release: http://eptwitter.eu/qAkz,"9 replies, 16 reposts, 36 likes, 1 bookmark",https://x.com/Europarl_EN/status/1602606475679260673/photo/1,Europarl_EN,9.0,16.0,36.0,1.0,,en,MEPs have reached a provisional agreement with Council to set up an EU Carbon Border Adjustment Mechanism to combat climate change and prevent carbon leakage. Press release: http://eptwitter.eu/qAkz,,,,,,,,1
487,0,,,71684,1,1,1,2022-01-09,"Από τις 11:00 ώρα Ελλάδος παρακολουθήστε τη 3η ομάδα Ευρωπαίων πολιτών #COFOE, οι οποίοι συζητούν για υγεία, περιβάλλον και κλιματική αλλαγή απευθείας από τη Βαρσοβία 

#ΤοΜέλλονΣουΑνήκει
#TheFutureIsYours
@FuturEUgr
 @papadimoulis
 @v_meimarakis
 @MVarvitsiotis","3 reposts, 5 likes",,Europarl_EL,,3.0,5.0,,,el,"From 11:00 Greek time watch the 3rd Group of European Citizens #Cofoe, who are discussing health, environment and climate change directly from Warsaw 

#Tumults are
#Thefutureisyours
@FUTUUGR
 @papadimoulis
 @v_meimarakis
 @Mvarvitsiotis",,,,,,,,1
488,0,,,67695,1,0,0,2022-06-18,".
@RasmusAndresen
: “Et flertal af den tyske befolkning kan nu se, at der er behov for at speede processen op med omstilling til vedvarende energi. Og vi skal være bedre til at samarbejde om det i EU, bl.a. med fælles investeringer.”
#eudk #fmdk #dkgreen","2 reposts, 6 likes",https://x.com/Europarl_DK/status/1538152752517459969/photo/1,Europarl_DK,,2.0,6.0,,,da,".
@Rasmusandresen
: ""A majority of the German population can now see that there is a need to speed up the process with conversion to renewable energy. And we must be better at collaborating on it in the EU, including with joint investments.""
#eudk #fmdk #dkgreen",,,,,,,,1
489,1,the CAP,"support recovery and restoration in the aftermath of crises, support preventative and proactive measures, enabling farmers to anticipate and adapt to the impacts of climate change and other challenges",52971,1,0,0,2023-10-05,"It is important to remember: the CAP is not simply a tool to support recovery and restoration in the aftermath of crises.

It can also support preventative and proactive measures, enabling farmers to anticipate and adapt to the impacts of climate change and other challenges.

/5","1 reply, 1 repost, 3 likes, 571 views",https://x.com/jwojc/status/1709889142916555198/photo/1,jwojc,1.0,1.0,3.0,,571.0,en,"It is important to remember: the CAP is not simply a tool to support recovery and restoration in the aftermath of crises.

It can also support preventative and proactive measures, enabling farmers to anticipate and adapt to the impacts of climate change and other challenges.

/5",,Janusz Wojciechowski,Agriculture,01/12/2019,30/11/2024,@jwojc,@EU_Commission,1
490,0,,,79671,1,0,0,2022-01-05," Euroopan ympäristöpääkaupungiksi valitaan kaupunki, joka toimii edelläkävijänä ympäristöasioissa. Green Leaf-palkinto myönnetään pienemmille kaupungeille, jotka ovat satsanneet vihreiden työpaikkojen luomiseen ja edistyksellisiin ilmastotoimiin.",1 reply,,Europarl_FI,1.0,,,,,fi,A city that acts as a pioneer in environmental matters is chosen as the European Environmental Capital. The Green Leaf Prize is awarded to smaller cities that have invested in the creation of green jobs and advanced climate action.,,,,,,,,1
491,0,,,65967,1,0,0,2023-07-27,"Science is clear.

July 2023 is set to be the hottest 
month on record.

There are no magic solutions to the climate crisis.

But it’s possible to tackle it if we prioritize the #EUGreenDeal consistently in every country in Europe & ","16 replies, 86 reposts, 167 likes, 4 bookmarks, 29244 views",https://x.com/VSinkevicius/status/1684561282232635392/photo/1,VSinkevicius,16.0,86.0,167.0,4.0,29244.0,en,"Science is clear.

July 2023 is set to be the hottest 
month on record.

There are no magic solutions to the climate crisis.

But it’s possible to tackle it if we prioritize the #EUGreenDeal consistently in every country in Europe & ",193097.0,,,,,,,1
492,1,Russia blackmailed us by cutting energy supply,"We answered with unity, solidarity and REPowerEU",15486,1,0,0,2023-05-18,"Last year, Russia blackmailed us by cutting energy supply. 

We answered with unity, solidarity and #REPowerEU.  
@TimMcPhieEU
, our Spokesperson for Climate Action and Energy, highlights the major achievements of the plan ↓","167 replies, 53 reposts, 157 likes, 1 bookmark, 24436 views",,EU_Commission,167.0,53.0,157.0,1.0,24436.0,en,"Last year, Russia blackmailed us by cutting energy supply. 

We answered with unity, solidarity and #REPowerEU.  
@TimMcPhieEU
, our Spokesperson for Climate Action and Energy, highlights the major achievements of the plan ↓",46253.0,,,,,,,1
493,1,MEPs demand that car-recharging stations be installed every 60 km and greenhouse gas emissions from ships be limited,help the EU become climate neutral,63370,1,0,0,2022-10-17,"To help the EU become climate neutral, MEPs are set to demand that car-recharging stations be installed every 60 km and greenhouse gas emissions from ships be limited.

Follow live (~18:30) http://bit.ly/2ut0xjP",,https://x.com/Europarl_CY/status/1582019350407442433/photo/1,Europarl_CY,,,,,,en,"To help the EU become climate neutral, MEPs are set to demand that car-recharging stations be installed every 60 km and greenhouse gas emissions from ships be limited.

Follow live (~18:30) http://bit.ly/2ut0xjP",,,,,,,,1
494,1,Climate change,taking its toll across the globe,11941,1,0,0,2023-09-19,"Climate change is taking its toll across the globe.

Small developing islands -like Mauritius- are the most vulnerable.

With @MauritiusPM 
@KumarJugnauth
 underlined the need for Paris Agreement goals to be achieved.

We need action now. This cannot be left for future generations.","46 replies, 38 reposts, 133 likes, 14004 views",https://x.com/EP_President/status/1704207414889787542/photo/1,EP_President,46.0,38.0,133.0,,14004.0,en,"Climate change is taking its toll across the globe.

Small developing islands -like Mauritius- are the most vulnerable.

With @MauritiusPM 
@KumarJugnauth
 underlined the need for Paris Agreement goals to be achieved.

We need action now. This cannot be left for future generations.",37244.0,,,,,,,1
495,1,accelerate the processes of building capacity of renewal energy sources and connection transmission lines,accelerate into a green passage,284078,1,0,0,2022-12-15,"Premier  dr. Robert Golob: ""Zelo pomemben ukrep je pospešitev postopkov izgradnje kapacitet obnovljvih virov energije in priključnih daljnovodov. Če želimo pospešeno preiti v zeleni prehod, potem moramo spremeniti zakonodajo in umeščanje obnovljivih virov energije v prostor.""","4 replies, 1 repost, 6 likes",https://x.com/vladaRS/status/1603315405417861122/photo/1,vladaRS,4.0,1.0,6.0,,,sl,"Prime Minister dr. Robert Golob: ""A very important measure is to accelerate the processes of building capacity of renewal energy sources and connection transmission lines. If we want to accelerate into a green passage, then we need to change the legislation and placement of renewable energy into space.""",,,,,,,,1
